prompt,response
tec:Ah doh know what ah doing,I do not know what I am doing.
tec:Ah doh know wat ah doing,I do not know what I am doing.
tec:Ah know wat ah doing.,I know what I am doing.
tec:Ah know wat ah doing.,I know what I am doing.
tec:Waz de scn,What's up?
tec:Waiz de scn,What's up?
tec:Waiz d scn,How are you?
tec:Waiz de scene,What's up?
tec:Wais de scn,How are you?
tec:Wais d scn,What's up?
tec:Wais de scene,How are you?
"tec:Ah did tell yuh, u is d most handsome man ah ever see?",Did I ever tell you that you are the most handsome man I have ever seen?
tec:Wat iz the time in America?,What is the time in America?
tec:jusso allyuh lash me?,Why did everyone hit me?
tec:My g,My friend
tec:Wat yuh doing today,What are you doing today?
tec:Ah wah meh fone,I want my phone.
tec:Wah time it iz,What time is it?
tec:wah time it iz,What time is it?
tec:Wam tuh you,What happened to you?
tec:Wam,What happened?
tec:Allyuh,Everybody
tec:Chupid,Stupid
tec:That bwoy is dotish,That boy is stupid.
tec:The guy is chupid,The guy is stupid.
tec:Ah wah ah car,I want a car.
tec:Ah wah meh money,I want my money.
tec:Ah apple issa fruit,An apple is a fruit.
tec:Give meh de bag,Give me the bag.
tec:Ah need ah screwdriver fuh the toolbox,I need a screwdriver for the toolbox.
tec:Ah want ah umbrella fuh dis rain,I want an umbrella for this rain.
tec:I need ah orange to put with this lunchbox,I need an orange to put with this lunchbox.
tec:Ah fed up,I am tired.
tec:fed up,tired
tec:fone,phone
tec:Wais,What is 
tec:dias,that is
tec:Dias not my fone,That is not my phone.
tec:Give meh meh fone,Give me my phone.
tec:Trinbago,Trinidad and Tobago
tec:He get rel lix,He got beatup.
tec:He rel dotish boi,He is very stupid.
tec:She rel doh like him,She really does not like him.
tec:Aye look ah crapo,"Hey, look at the frog"
tec:crapo,frog
tec:Ah under rel presha here dawg,I am under a lot of pressure here my friend.
tec:Ah under rel preshah here dawg,I am under a lot of pressure here my friend.
tec:He issa arse,He is an ass.
tec:He issa ahse,He is an ass.
tec:Allyuh doh like meh,Everybody does not like me.
tec:Allyuh doh like meh,You all do not like me.
tec:Whey de fone is,Where is the phone?
tec:Wey de fone is,Where is the phone?
tec:Wey is d fone,Where is the phone?
tec:Wey is de fone,Where is the phone?
tec:Whey is de fone,Where is the phone?
tec:Oooo dawg,Hi friend!
tec:oooo dawg,hi friend!
tec:wajang,roudy
tec:Yuh behaviour rel wajang,Your behaviour is very roudy.
tec:Whey yuh going at dis hr,Where are you going at this hour?
tec:Yuh cyah go tuh d bathroom,You cannot go to the bathroom.
tec:Boi dias not mine ,Boy that is not mine
tec:come nah boi,I am serious brother.
tec:Dah stick rel tick and fat,That stick is very thick and fat.
"tec:He lieing, ent?","He is lying, is that not so?"
tec:Lawd have mercy yes!,Lord have mercy!
tec:Stop tiefing meh mangoes,Stop stealing my mangoes.
tec:Stop tiefing meh mangoes,Stop thieving my mangoes.
tec:whey yuh say,What did you say?
tec:You an all,You too?
"tec:Oh gosh, leave me alone","Oh god, leave me alone."
tec:Yuh look fuh dat,You looked for that.
tec:Yuh look fuh dat,It's your fault.
tec:Yuh rel boldface,You are a very ignorant.
tec:Yuh rel bolface,You are a very ignorant.
tec:Ah liming by de corner,I am hanging out by the corner.
tec:Doh hambug the guy,Do not pester the guy.
tec:He hambugging de fella,He is pestering the guy.
tec:Wa is the name of dat thing,What is the name of that thing?
tec:Dat gyal gone home long time,The girl went home a long time ago.
tec:Dat is not mi gyul,That is not my girl
tec:De gyal not home,The girl is not home.
tec:Meh wife horn meh,My wife cheated on me.
tec:Ah geh horn,I got cheated on
tec:Ah going an horn on meh husband,I am going to cheat on my husband.
tec:Me and de wifey home,My wife and I are home.
tec:This girl like rel bacchanal,This girl likes a lot of confusion.
tec:Oi,Hello
tec:Ah wah meh modda fone,I want my mother's phone.
tec:Ah wah meh moda fone,I want my mother's phone.
tec:Ah wah meh muda fone,I want my mother's phone.
tec:Ah wah meh mudda fone,I want my mother's phone.
tec:Ah wah mi moda fone,I want my mother's phone.
tec:Wais de time,What is the time?
tec:Waiz de time,What is the time?
tec:He's not meh brodda,He is not my brother.
tec:Dat boi rel chupid boi,That boy is very stupid.
tec:He waz home yesterday,He was home yesterday.
tec:Ah tryin tuh find ah engineering wok,I am trying to find an engineering work.
tec:Ah tryin tuh find ah engineering wuk,I am trying to find an engineering work.
tec:She rel bess boi,She is very sexy.
tec:Wey my jacket hoss,"Where is my jacket, my friend?"
tec:Ah going ah lil lime,I am going to a small gathering.
tec:Ah going ah lil lime,I am going to a small get-together.
tec:Ah wuda go home if ah kno it waz going and rain.,I would of gone home if I knew it was going to rain.
tec:Ah wudda go home if ah kno it waz going and rain.,I would of gone home if I knew it was going to rain.
tec:Eyy! Come here!,Hey! Come here!
"tec:Yunno, you cudda come by meh if yuh didnt have money",You know you could of came to me if you did not have money.
"tec:Yunno, you cuda come by meh if yuh didnt have money",You know you could of came to me if you did not have money.
"tec:Yunno, you coda come by meh if yuh didnt have money",You know you could of came to me if you did not have money.
tec:Dese children feel dey bright,These children feel they are smart.
tec:Dah light rel bright dawg,That light is very bright my friend.
"tec:Ah cah believe he dead , weyss","I cannot believe he is dead, wow"
tec:Weys dawg !,Wow my friend !
tec:Ah hada leave now,I have to leave now.
tec:Ah hada do a lot of work yesterday,Ah had to do a lot of work yesterday.
tec:Ah have enuf money fuh tomorrow,I have enough money for tomorrow.
tec:Keron going and geh bouf wen he come home,Keron is going to get scold when he comes home.
tec:It have enuf food fuh dese children,It have enough food for these children.
tec:It have enuff food fuh dese children,It have enough food for these children.
tec:It have enoff food fuh dese children,It have enough food for these children.
tec:It have enof food fuh dese children,It have enough food for these children.
tec:Lemme see yuh fone,Let me see your phone.
tec:Lewwe go tuh di mall nah,Let us go to the mall.
"tec:Nah, John nuh home","No, John is not home."
tec:April wit her bf ,April is with her boyfriend.
tec:April wid her bf ,April is with her boyfriend.
tec:Imma mechanic,I am a mechanic.
tec:Imma jus leave,I am just going to leave.
tec:Meen going tuh skool now,I am not going to school now.
tec:Meen know whos he,I do not know who he is.
tec:Skool doh start so early ,School does not start so early.
tec:Ah doh like she inno,I don't like her
tec:Ah doh like she inno,I do not like her
tec:I eh kno who you talking bout,I do not know who you are talking about.
tec:I doh kno who you talking bout,I do not know who you are talking about.
tec:Yuh rel harden inno,You are very stubborn.
tec:Yuh rel harden yunno,You are very stubborn.
tec:Yuh does rel maco,You eavesdrop a lot.
tec:Yuh does rel maco,You like to eavesdrop a lot
tec:Yuh does rel be macoing the neighbour business,You like eavesdropping on the neighbour too much.
tec:Dat chile blasted stubborn,That child is very stubborn.
tec:Dat chile blasted stubborn,That child is damn stubborn.
tec:Chile issa country in South America,Chile is a country in South America.
tec:Dah chile is not mines boi,That child is not mines.
tec:Oooo meh breda !,Hello my brother!
"tec:Breds, bring my fone","Brethren, bring my phone."
tec:Dah bag rel dutty ,That bag is very dirty.
tec:Ah neva comin bk here,I am never coming back here.
tec:I neva comin bk here,I am never coming back here.
tec:Ah have nuttin in my car rn,I have nothing in my car right now.
tec:Ah have nutten in my car rn,I have nothing in my car right now.
tec:My nose rel snatty,My nose is very snotty.
tec:Yuh have snat in yuh nose,You have snot in your nose.
"tec:Yunno, daz nuh my bag",You know that is not my bag.
tec:Widdi hell going on here boi,"What is going on here, brother?"
tec:Whuddy hell going on here boi,"What is going on here, brother?"
tec:Wuddy hell going on here boi,"What is going on here, brother?"
tec:Wham tuh di tambran ah buy,What happened to the tamarind I bought?
tec:Wam to d tambran ah buy,What happened to the tamarind I bought?
tec:Wam to d zaboca ah buy,What happened to the avacado I bought?
tec:Wham tuh di tambran ah buy,What happened to the avacado I bought?
tec:James doh like he ,James do not like him.
tec:Ah hunting manicou,I am hunting opposum.
tec:Gimme meh car keys,Give me my car keys.
tec:Gimme meh phone,Give me my phone.
tec:Weh yuh located,Where are you located?
tec:Weh u livin,Where are you living?
tec:Bring me daht dog ,Bring me that dog.
tec:Where meh topdawg,Where is my friend?
tec:My topdawg nuh here today,My friend is not here today.
tec:Tnx meh dawg,Thanks my friend.
tec:Typical trini behaviour,Typical trinidadian behaviour.
tec:Yuh getting on a lil wajang today,You are acting a little ghetto today.
tec:You leh dah man leave wit yuh money boi,You let that man leave with your money.
tec:You leh dah man leave wit yuh money boi,You allowed that man leave with your money.
tec:Meen eh fraid u inno,I am not afraid of you.
tec:Is vex I vex,I am angry.
tec:Is vex ah vex,I am angry.
tec:She rel vex,She is very angry.
tec:Diaz not my stuff,That is not my stuff.
tec:Can you drink de worm medsin,Can you drink the worm medicine?
tec:Btw,By the way
tec:Ah cud see dat he happy,I could see that he is happy.
tec:Yuh shud not sleep during de day,You should not sleep during the day.
tec:Aye ,Hey
tec:Ah comin home inna few hrs,I am coming home in a few hours.
tec:Ah comin home inna few mins,I am coming home in a few minutes.
tec:Yuh rel gud at soccer,You are very good at soccer.
tec:Ik my stuff,I know my stuff.
tec:Dis bwoy rel sickenin bai,This boy is very annoying.
tec:Wais de word,What's up?
tec:Wais de wrd,What's up?
tec:Wrd,Cool
tec:Laterz bro,Take care brother
tec:Laterz bro,Goodbye brother
tec:Hardlucks dey,Sorry
tec:Hardlucks,Sorry
tec:He ran away jusso he won't have tuh pay,He ran away just so he won't have to pay.
tec:Oh geed,That is disgusting.
